Time,Item Name,Location,Coordinates
12:00 AM/PM,Broad Beans,Il Mheg,"(x24,y36)"
12:00 AM/PM,Mist Spinach,The Rak'tika Greatwood,"(x34,y21)"
2:00 AM/PM,Rarefied Amber Cloves,Amh Araeng,"(x19,y20)"
2:00 AM/PM,Rarefied Sandteak Log,Amh Araeng,"(x19,y20)"
4:00 AM/PM,Rarefied Coral,The Tempest,"(x37,y12)"
4:00 AM/PM,Rarefied Kelp,The Tempest,"(x37,y12)"
6:00 AM/PM,Lemonette,Kholusia,"(x20,y27)"
8:00 AM/PM,Rarefied White Oak Log,Kholusia,"(x28,y33)"
8:00 AM/PM,Russet Popoto,Amh Araeng,"(x19,y16)"
10:00 AM/PM,Peppermint,Lakeland,"(x26,y20)"
10:00 AM/PM,Rarefied Pixie Apple,Il Mheg,"(x4,y23)"
10:00 AM/PM,Rarefied Miracle Apple Log,Il Mheg,"(x4,y23)"
12:00 AM/PM,Rarefied Urunday Log,The Peaks,"(x31,y7)"
12:00 AM/PM,Rarefied Pine Log,Yanxia,"(x19,y14)"
12:00 AM/PM,Rarefied Pine Resin,Yanxia,"(x19,y14)"
2:00 AM/PM,Othardian Plum,The Azim Steppe,"(x23,y16)"
2:00 AM/PM,Rarefied Larch Log,The Ruby Sea,"(x6,y16)"
2:00 AM/PM,Rarefied Larch Sap,The Ruby Sea,"(x6,y16)"
4:00 AM/PM,Jhammel Ginger,The Lochs,"(x8,y8)"
4:00 AM/PM,Rarefied Shiitake Mushroom,The Ruby Sea,"(x33,y9)"
6:00 AM/PM,Hallowed Basil,The Peaks,"(x23,y16)"
8:00 AM/PM,Lotus Root,Yanxia,"(x28,y7)"
10:00 AM/PM,Bamboo Shoot,Yanxia,"(x28,y25)"
12:00 AM/PM,Rarefied Dark Chestnut,The Dravanian Forelands,"(x16,y36)"
12:00 AM/PM,Rarefied Dark Chestnut Resin,The Dravanian Forelands,"(x16,y36)"
12:00 AM/PM,Dravanian Mistletoe,The Churning Mists,"(x24,y6)"
12:00 AM/PM,Porcini,The Churning Mists,"(x24,y6)"
2:00 AM/PM,Old World Fig Seeds,The Dravanian Forelands,"(x26,y12)"
2:00 AM/PM,Old World Fig,The Dravanian Forelands,"(x26,y12)"
4:00 AM/PM,Cloud Banana,The Dravanian Hinterlands,"(x19,y36)"
4:00 AM/PM,Morel,The Dravanian Hinterlands,"(x19,y36)"
6:00 AM/PM,Heavens Lemon,The Sea of Clouds,"(x35,y23)"
6:00 AM/PM,Abalathian Mistletoe,The Sea of Clouds,"(x35,y23)"
8:00 AM/PM,Chysahl Greens,Coerthas Western Highlands,"(x8,y9)"
10:00 AM/PM,Chives,Coerthas Western Highlands,"(x31,y20)"
10:00 AM/PM,Pearl Sprout Seeds,Coerthas Western Highlands,"(x31,y20)"
10:00 AM/PM,Coerthan Tea Seeds,Coerthas Western Highlands,"(x31,y20)"
10:00 AM/PM,Pearl Sprouts,Coerthas Western Highlands,"(x31,y20)"
10:00 AM/PM,Coerthan Tea Leaves,Coerthas Western Highlands,"(x31,y20)"
10:00 AM/PM,Rarefied Dark Chestnut Branch,The Dravanian Forelands,"(x29,y30)"
10:00 AM/PM,Rarefied Dark Chestnut Log,The Dravanian Forelands,"(x29,y30)"
10:00 AM/PM,Rarefied Dark Chestnut Sap,The Dravanian Forelands,"(x29,y30)"
1:00 AM,Silkworm Cocoon,East Shroud,"(x22,y26)"
2:00 AM,Fragrant Log,South Shroud,"(x18,y23)"
2:00 AM,Shroud Tea Leaves,Central Shroud,"(x16,y20)"
3:00 AM,Scarlet Sap,North Shroud,"(x18,y26)"
4:00 AM,Ebony Log,Middle La Noscea,"(x23.2,y26.3)"
5:00 AM,Trillium,East Shroud,"(x17,y19)"
5:00 AM,Honey Lemon,Eastern La Noscea,"(x26,y32)"
5:00 AM,Honey Lemon Seeds,Eastern La Noscea,"(x26,y32)"
6:00 AM,Young Cieldalaes Spinach,Lower La Noscea,"(x32,y11)"
6:00 AM,Redolent Log,Central Shroud,"(x30,y19)"
